"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cayman Islands","CYM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","79.57353","78.21518","78.04012","77.08835","70.99085","68.77587","68.11347","69.019","69.99553","69.21742","71.51784","68.43544","68.05516","68.09883","68.95197","73.50297","77.48683","78.76016","78.95243","78.78041","79.15071","77.19921","97.66881","96.77906","96.13147","95.85717","96.37603","","","95.51144","95.28583","96.13101","96.31868","95.95348","","","","","","","","98.08758","97.70888","97.58037","97.67327","97.06624","97.89554","","","","","","","",
"Czechia","CZE","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.15242","89.69032","89.32795","89.48699","","","","","","","","","","",
"Germany","DEU","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.53235","87.11377","","85.37444","85.71943","86.98664","87.78753","89.02192","89.43425","88.92647","88.66964","89.40695","89.0495","88.97406","88.65372","88.67779","90.1059","91.32272","","","","","","","","",
"Djibouti","DJI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","21.54557","22.52534","22.40552","22.5391","22.8225","23.58978","","24.37232","23.06435","23.8739","24.90626","24.44266","23.49403","","22.57925","23.27237","25.60383","27.11355","","30.62788","32.40067","35.5255","39.56202","46.91447","47.95953","","60.25384","","61.12784","62.95839","63.10016","59.49485","62.01595","62.58727","66.478","","","","","",
"Dominica","DMA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","93.43276","94.54825","","90.23237","87.07084","88.95975","88.29276","","","","","","","","","","","","","","","","","","","91.51107","95.67691","89.20918","85.70602","84.62458","82.8857","83.13332","83.89169","88.12001","","","","","","","","","","","","","","","",
"Denmark","DNK","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","95.59286","96.40157","98.15753","98.92843","99.02563","98.62751","98.9879","99.15072","97.94835","97.84123","98.31617","97.33748","96.83258","98.57861","98.44747","98.0899","","","","","","","","98.1757","96.20132","96.63566","97.2263","97.034","97.04203","96.85161","97.96883","98.35611","98.60111","98.28347","98.50205","","","","","","","","","",
"Dominican Republic","DOM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.00589","85.00935","","88.91156","87.19125","83.51832","84.7579","82.82201","87.84546","84.16854","","88.57364","90.0465","89.31764","89.52274","88.14003","92.59353","92.9826","92.70941","92.68957","","","","","","",
"Algeria","DZA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","55.79117","59.16065","61.62457","63.83371","66.02593","67.71829","68.4216","69.7613","70.31687","70.30168","70.15331","71.42914","72.31578","74.06331","75.81019","77.25058","78.69119","79.52591","81.62065","83.17855","83.2644","83.79624","84.39233","84.43281","84.29735","","86.58871","87.66998","89.61183","90.75677","91.10768","91.64398","91.86275","91.96863","94.30325","95.52681","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","85.9053","90.06403","91.24759","92.68094","91.72237","92.57994","92.6787","92.0758","91.20744","90.05738","89.49607","89.03493","91.37946","93.81986","93.94799","94.09889","94.14736","93.99804","94.19523","93.97354","93.56541","94.82269","94.86243","95.18151","95.50133","95.92812","95.49613","95.44349","95.46373","95.51255","","","","","","","","","",
"Early-demographic dividend","EAR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","52.79379","52.27325","54.0825","56.84676","56.51517","58.43089","59.33974","61.32207","60.31376","60.64285","62.33837","64.07619","65.6872","67.0765","68.30123","68.63692","69.67261","69.21027","70.74882","72.81098","72.09403","72.78815","73.09987","73.91847","74.91612","74.56866","75.31573","75.13803","74.92386","75.52477","76.91052","77.6674","78.36447","82.10792","83.4887","84.82799","86.02039","87.83729","88.43094","89.01977","89.42242","89.52529","89.6106","89.84268","89.8341","89.64035","89.77317","89.72967","89.59618","","","","","","",
"East Asia & Pacific","EAS","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","86.5428","90.43156","91.59573","92.94616","91.90022","92.68461","92.81055","92.27616","91.45535","90.36408","89.83247","89.36705","91.55294","93.85666","94.00152","94.09031","94.12122","94.01758","94.19893","94.01109","93.63552","94.84807","94.90434","95.23213","95.5121","95.94855","95.52392","95.45252","95.47628","95.58924","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5704","92.20265","91.78379","90.82041","91.06347","90.27319","90.29027","90.68015","89.91657","90.71911","91.76248","93.71363","93.3452","91.89726","92.08733","92.30501","92.55366","92.21762","92.9478","93.13939","92.91753","93.35407","93.21996","93.54765","93.69839","91.79124","91.67335","","","","","","",
